date,total_vaccinations,people_vaccinated,source_url,location,vaccine,people_fully_vaccinated
2021-01-17,77000,77000.0,https://www.rivm.nl/covid-19-vaccinatie/wekelijkse-update-deelname-covid-19-vaccinatie-in-nederland,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",0.0
2021-01-24,146612,146612.0,https://www.rivm.nl/covid-19-vaccinatie/wekelijkse-update-deelname-covid-19-vaccinatie-in-nederland,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",0.0
2021-01-31,343526,327834.0,https://www.rivm.nl/covid-19-vaccinatie/wekelijkse-update-deelname-covid-19-vaccinatie-in-nederland,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",15692.0
2021-02-07,571145,504736.0,https://www.rivm.nl/covid-19-vaccinatie/wekelijkse-update-deelname-covid-19-vaccinatie-in-nederland,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",66409.0
2021-02-14,783438,628993.0,https://www.rivm.nl/covid-19-vaccinatie/wekelijkse-update-deelname-covid-19-vaccinatie-in-nederland,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",154445.0
2021-02-21,1014039,795326.0,https://www.rivm.nl/covid-19-vaccinatie/wekelijkse-update-deelname-covid-19-vaccinatie-in-nederland,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",218713.0
2021-02-28,1336428,1004757.0,https://www.rivm.nl/covid-19-vaccinatie/wekelijkse-update-deelname-covid-19-vaccinatie-in-nederland,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",331671.0
2021-03-07,1619839,1207904.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",411935.0
2021-03-14,1887726,1394603.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",493123.0
2021-03-21,2097980,1492489.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",605491.0
2021-03-28,2378552,1688490.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",690062.0
2021-04-04,2863986,2057562.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",806424.0
2021-04-11,3783912,2957777.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",826135.0
2021-04-18,4578432,3635235.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",943197.0
2021-04-21,4873624,,https://coronadashboard.government.nl/landelijk/vaccinaties,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",
2021-04-22,4952724,,https://coronadashboard.government.nl/landelijk/vaccinaties,Netherlands,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",
2021-04-25,4991803,3880412.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",
2021-04-27,5176010,,https://coronadashboard.government.nl/landelijk/vaccinaties,Netherlands,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",
2021-04-28,5265860,,https://coronadashboard.government.nl/landelijk/vaccinaties,Netherlands,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",
2021-05-02,5651843,4448730.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",
2021-05-09,6462496,4991228.0,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma,Netherlands,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",
2021-05-13,6875100,5269132.0,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,Netherlands,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca",1713859.0
2021-05-14,6875100,5269132.0,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,Netherlands,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca",1713859.0
2021-05-16,6875100,5269132.0,https://www.ecdc.europa.eu/en/publications-data/data-covid-19-vaccination-eu-eea,Netherlands,"Johnson&Johnson, Moderna, Pfizer/BioNTech, Oxford/AstraZeneca",1713859.0
